,pelicula,fecha_estreno,tipo_estreno,duracion,genero,director,calf_medios,calf_usuarios,calf_sensacine,nacionalidad,distribuidora,fecha_produccion,presupuesto,idioma
34,"

The Lion King
","
11 de noviembre de 1994
","
en cines
",1h 29min,Comedia musical,Rob Minkoff,"4,5","4,6","2,0", EE.UU., Walt Disney Studios Motion Picture Spain ,1994,45 000 000 USD,Inglés
35,"

The Dark Knight
","
13 de agosto de 2008
","
en cines
",2h 32min,Acción,Christopher Nolan,"5,0","4,6","3,5", EE.UU., Warner Bros Pictures España ,2008,180 000 000 USD,-
36,"

The Dark Knight
","
13 de agosto de 2008
","
en cines
",2h 32min,Suspense,Christopher Nolan,"5,0","4,6","3,5", EE.UU., Warner Bros Pictures España ,2008,180 000 000 USD,-
37,"

John Travolta,
Samuel L. Jackson,
Uma Thurman
","
13 de enero de 1995
","
en cines
",2h 29min,Crimen,Quentin Tarantino,"4,6","4,5","4,5", EE.UU., 39 Escalones ,1994,8 000 000 USD,Inglés
38,"

John Travolta,
Samuel L. Jackson,
Uma Thurman
","
13 de enero de 1995
","
en cines
",2h 29min,Drama,Quentin Tarantino,"4,6","4,5","4,5", EE.UU., 39 Escalones ,1994,8 000 000 USD,Inglés
39,"

The Lord of the Rings: The Fellowship of the Ring
","
21 de diciembre de 2001
","
en cines
",2h 58min,Aventura,Peter Jackson,"4,6","4,5","4,0", EE.UU., Warner Bros Pictures España ,2001,90 000 000 USD,Inglés
40,"

The Lord of the Rings: The Fellowship of the Ring
","
21 de diciembre de 2001
","
en cines
",2h 58min,Fantasía,Peter Jackson,"4,6","4,5","4,0", EE.UU., Warner Bros Pictures España ,2001,90 000 000 USD,Inglés
41,"

The Pianist
","
13 de diciembre de 2002
","
en cines
",2h 28min,Drama,Roman Polanski,"4,6","4,5","3,5", Francia, DeaPlaneta ,2002,35 000 000 USD,-
42,"

The Pianist
","
13 de diciembre de 2002
","
en cines
",2h 28min,Histórico,Roman Polanski,"4,6","4,5","3,5", Francia, DeaPlaneta ,2002,35 000 000 USD,-
43,"

Goodfellas
","
19 de octubre de 1990
","
en cines
",2h 25min,Crimen,Martin Scorsese,"5,0","4,5","5,0", EE.UU., Warner Bros Pictures España ,1990,25 000 000 USD,-
44,"

Goodfellas
","
19 de octubre de 1990
","
en cines
",2h 25min,Drama,Martin Scorsese,"5,0","4,5","5,0", EE.UU., Warner Bros Pictures España ,1990,25 000 000 USD,-
