,pelicula,fecha_estreno,tipo_estreno,duracion,genero,director,calf_medios,calf_usuarios,calf_sensacine,nacionalidad,distribuidora,fecha_produccion,presupuesto,idioma
517,"

The Greatest Showman
","
29 de diciembre de 2017
","
en cines
",1h 44min,Comedia musical,Michael Gracey,"3,0","4,3","2,5", EE.UU., Twentieth Century Studios España ,2017,-,-
518,"

Tobey Maguire,
Willem Dafoe,
Kirsten Dunst
","
21 de junio de 2002
","
en cines
",2h 01min,Acción,Sam Raimi,"3,8","4,3","4,0", EE.UU., Sony Pictures Releasing de España ,2002,139 000 000 USD,-
519,"

Tobey Maguire,
Willem Dafoe,
Kirsten Dunst
","
21 de junio de 2002
","
en cines
",2h 01min,Fantasía,Sam Raimi,"3,8","4,3","4,0", EE.UU., Sony Pictures Releasing de España ,2002,139 000 000 USD,-
520,"

The Blind Side
","
18 de junio de 2010
","
en cines
",2h 09min,Biopic,John Lee Hancock,"2,1","4,3","0,5", EE.UU., Warner Bros Pictures España ,2009,29 000 000 USD,-
521,"

The Blind Side
","
18 de junio de 2010
","
en cines
",2h 09min,Drama,John Lee Hancock,"2,1","4,3","0,5", EE.UU., Warner Bros Pictures España ,2009,29 000 000 USD,-
522,"

North by Northwest
","
28 de diciembre de 1959
","
en cines
",2h 16min,Aventura,Alfred Hitchcock,"4,3","4,3",, EE.UU., 39 Escalones ,1959,4 000 000 USD,Inglés
523,"

North by Northwest
","
28 de diciembre de 1959
","
en cines
",2h 16min,Crimen,Alfred Hitchcock,"4,3","4,3",, EE.UU., 39 Escalones ,1959,4 000 000 USD,Inglés
524,"

North by Northwest
","
28 de diciembre de 1959
","
en cines
",2h 16min,Espionaje,Alfred Hitchcock,"4,3","4,3",, EE.UU., 39 Escalones ,1959,4 000 000 USD,Inglés
525,"

North by Northwest
","
28 de diciembre de 1959
","
en cines
",2h 16min,Suspense,Alfred Hitchcock,"4,3","4,3",, EE.UU., 39 Escalones ,1959,4 000 000 USD,Inglés
526,"

The Book of Life
","
20 de febrero de 2015
","
en cines
",1h 35min,Animación,Jorge R. Gutierrez,"3,1","4,3","4,0", EE.UU., Twentieth Century Studios España ,2014,50 000 000 USD,-
527,"

The Book of Life
","
20 de febrero de 2015
","
en cines
",1h 35min,Comedia,Jorge R. Gutierrez,"3,1","4,3","4,0", EE.UU., Twentieth Century Studios España ,2014,50 000 000 USD,-
528,"

The Book of Life
","
20 de febrero de 2015
","
en cines
",1h 35min,Familia,Jorge R. Gutierrez,"3,1","4,3","4,0", EE.UU., Twentieth Century Studios España ,2014,50 000 000 USD,-
529,"

The Last Samurai
","
9 de enero de 2004
","
en cines
",2h 24min,Histórico,Edward Zwick,,"4,3","3,0", EE.UU., Warner Bros Pictures España ,2003,100 000 000 USD,-
530,"

The Last Samurai
","
9 de enero de 2004
","
en cines
",2h 24min,Guerra,Edward Zwick,,"4,3","3,0", EE.UU., Warner Bros Pictures España ,2003,100 000 000 USD,-
531,"

La La Land
","
13 de enero de 2017
","
en cines
",2h 08min,Comedia musical,Damien Chazelle,"4,1","4,2","3,0", EE.UU., Universal Pictures International Spain ,2016,-,-
