pelicula,fecha_estreno,tipo_estreno,duracion,genero,director,calf_medios,calf_usuarios,calf_sensacine,nacionalidad,distribuidora,fecha_produccion,presupuesto,idioma
Spider-Man,2002-06-21,Cines,2h 01min,Fantasía,Sam Raimi,3.8,4.3,4.0, EE.UU., Sony Pictures Releasing de España ,2002-01-01,139000000,Inglés
The Blind Side,2010-06-18,Cines,2h 09min,Biopic,John Lee Hancock,2.1,4.3,0.5, EE.UU., Warner Bros Pictures España ,2009-01-01,29000000,Inglés
The Blind Side,2010-06-18,Cines,2h 09min,Drama,John Lee Hancock,2.1,4.3,0.5, EE.UU., Warner Bros Pictures España ,2009-01-01,29000000,Inglés
North by Northwest,1959-12-28,Cines,2h 16min,Aventura,Alfred Hitchcock,4.3,4.3,, EE.UU., 39 Escalones ,1959-01-01,4000000,Inglés
North by Northwest,1959-12-28,Cines,2h 16min,Crimen,Alfred Hitchcock,4.3,4.3,, EE.UU., 39 Escalones ,1959-01-01,4000000,Inglés
North by Northwest,1959-12-28,Cines,2h 16min,Espionaje,Alfred Hitchcock,4.3,4.3,, EE.UU., 39 Escalones ,1959-01-01,4000000,Inglés
North by Northwest,1959-12-28,Cines,2h 16min,Suspense,Alfred Hitchcock,4.3,4.3,, EE.UU., 39 Escalones ,1959-01-01,4000000,Inglés
The Book of Life,2015-02-20,Cines,1h 35min,Animación,Jorge R. Gutierrez,3.1,4.3,4.0, EE.UU., Twentieth Century Studios España ,2014-01-01,50000000,Inglés
The Book of Life,2015-02-20,Cines,1h 35min,Comedia,Jorge R. Gutierrez,3.1,4.3,4.0, EE.UU., Twentieth Century Studios España ,2014-01-01,50000000,Inglés
The Book of Life,2015-02-20,Cines,1h 35min,Familia,Jorge R. Gutierrez,3.1,4.3,4.0, EE.UU., Twentieth Century Studios España ,2014-01-01,50000000,Inglés
The Last Samurai,2004-01-09,Cines,2h 24min,Histórico,Edward Zwick,,4.3,3.0, EE.UU., Warner Bros Pictures España ,2003-01-01,100000000,Inglés
The Last Samurai,2004-01-09,Cines,2h 24min,Guerra,Edward Zwick,,4.3,3.0, EE.UU., Warner Bros Pictures España ,2003-01-01,100000000,Inglés
La La Land,2017-01-13,Cines,2h 08min,Comedia musical,Damien Chazelle,4.1,4.2,3.0, EE.UU., Universal Pictures International Spain ,2016-01-01,0,Inglés
La La Land,2017-01-13,Cines,2h 08min,Romántico,Damien Chazelle,4.1,4.2,3.0, EE.UU., Universal Pictures International Spain ,2016-01-01,0,Inglés
Cars,2006-07-07,Cines,1h 36min,Acción,John Lasseter,3.2,4.2,3.0, EE.UU., Walt Disney Studios Motion Picture Spain ,2006-01-01,70000000,Inglés
Cars,2006-07-07,Cines,1h 36min,Animación,John Lasseter,3.2,4.2,3.0, EE.UU., Walt Disney Studios Motion Picture Spain ,2006-01-01,70000000,Inglés
Cars,2006-07-07,Cines,1h 36min,Comedia,John Lasseter,3.2,4.2,3.0, EE.UU., Walt Disney Studios Motion Picture Spain ,2006-01-01,70000000,Inglés
Cars,2006-07-07,Cines,1h 36min,Fantasía,John Lasseter,3.2,4.2,3.0, EE.UU., Walt Disney Studios Motion Picture Spain ,2006-01-01,70000000,Inglés
Shichinin no samurai,1967-04-20,Cines,3h 27min,Acción,Akira Kurosawa,4.3,4.2,, Japón,,1954-01-01,0,Inglés
Shichinin no samurai,1967-04-20,Cines,3h 27min,Aventura,Akira Kurosawa,4.3,4.2,, Japón,,1954-01-01,0,Inglés
Captain America: Civil War,2016-04-29,Cines,2h 28min,Acción,Anthony Russo,4.2,4.2,4.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2016-01-01,250000000,Inglés
Captain America: Civil War,2016-04-29,Cines,2h 28min,Acción,Joe Russo,4.2,4.2,4.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2016-01-01,250000000,Inglés
Captain America: Civil War,2016-04-29,Cines,2h 28min,Fantasía,Anthony Russo,4.2,4.2,4.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2016-01-01,250000000,Inglés
Captain America: Civil War,2016-04-29,Cines,2h 28min,Fantasía,Joe Russo,4.2,4.2,4.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2016-01-01,250000000,Inglés
300,2007-03-23,Cines,1h 55min,Acción,Zack Snyder,2.5,4.2,1.0, EE.UU., Warner Bros Pictures España ,2006-01-01,60000000,Inglés
300,2007-03-23,Cines,1h 55min,Histórico,Zack Snyder,2.5,4.2,1.0, EE.UU., Warner Bros Pictures España ,2006-01-01,60000000,Inglés
300,2007-03-23,Cines,1h 55min,Épico,Zack Snyder,2.5,4.2,1.0, EE.UU., Warner Bros Pictures España ,2006-01-01,60000000,Inglés
300,2007-03-23,Cines,1h 55min,Guerra,Zack Snyder,2.5,4.2,1.0, EE.UU., Warner Bros Pictures España ,2006-01-01,60000000,Inglés
Despicable Me,2010-10-08,Cines,1h 35min,Animación,Chris Renaud,3.0,4.2,3.0, EE.UU., Universal Pictures International Spain ,2010-01-01,69000000,Inglés
Despicable Me,2010-10-08,Cines,1h 35min,Animación,Pierre Coffin,3.0,4.2,3.0, EE.UU., Universal Pictures International Spain ,2010-01-01,69000000,Inglés
Dumbo,1944-09-25,Cines,1h 04min,Animación,Ben Sharpsteen,4.9,4.2,, EE.UU.,,1941-01-01,0,Inglés
Dumbo,1944-09-25,Cines,1h 04min,Animación,Norman Ferguson,4.9,4.2,, EE.UU.,,1941-01-01,0,Inglés
Dumbo,1944-09-25,Cines,1h 04min,Animación,Wilfred Jackson,4.9,4.2,, EE.UU.,,1941-01-01,0,Inglés
Dumbo,1944-09-25,Cines,1h 04min,Comedia musical,Ben Sharpsteen,4.9,4.2,, EE.UU.,,1941-01-01,0,Inglés
Dumbo,1944-09-25,Cines,1h 04min,Comedia musical,Norman Ferguson,4.9,4.2,, EE.UU.,,1941-01-01,0,Inglés
Dumbo,1944-09-25,Cines,1h 04min,Comedia musical,Wilfred Jackson,4.9,4.2,, EE.UU.,,1941-01-01,0,Inglés
The Curious Case of Benjamin Button,2009-02-06,Cines,2h 35min,Drama,David Fincher,4.0,4.2,4.0, EE.UU., Warner Bros Pictures España ,2008-01-01,200000000,Inglés
The Curious Case of Benjamin Button,2009-02-06,Cines,2h 35min,Fantasía,David Fincher,4.0,4.2,4.0, EE.UU., Warner Bros Pictures España ,2008-01-01,200000000,Inglés
The Curious Case of Benjamin Button,2009-02-06,Cines,2h 35min,Romántico,David Fincher,4.0,4.2,4.0, EE.UU., Warner Bros Pictures España ,2008-01-01,200000000,Inglés
Green Book,2019-02-01,Cines,2h 10min,Biopic,Peter Farrelly,3.6,4.2,3.5, EE.UU., Entertainment One Films Spain ,2018-01-01,0,Inglés
Green Book,2019-02-01,Cines,2h 10min,Drama,Peter Farrelly,3.6,4.2,3.5, EE.UU., Entertainment One Films Spain ,2018-01-01,0,Inglés
Hidden Figures,2017-01-20,Cines,2h 07min,Biopic,Theodore Melfi,3.4,4.2,3.0, EE.UU., Twentieth Century Studios España ,2016-01-01,0,Inglés
Hidden Figures,2017-01-20,Cines,2h 07min,Drama,Theodore Melfi,3.4,4.2,3.0, EE.UU., Twentieth Century Studios España ,2016-01-01,0,Inglés
Guardians of the Galaxy Vol. 3,2023-05-04,Cines,2h 30min,Acción,James Gunn,3.8,4.2,, EE.UU., Walt Disney Studios Motion Picture Spain ,2023-01-01,0,Inglés
Guardians of the Galaxy Vol. 3,2023-05-04,Cines,2h 30min,Fantasía,James Gunn,3.8,4.2,, EE.UU., Walt Disney Studios Motion Picture Spain ,2023-01-01,0,Inglés
Guardians of the Galaxy Vol. 3,2023-05-04,Cines,2h 30min,Ciencia ficción,James Gunn,3.8,4.2,, EE.UU., Walt Disney Studios Motion Picture Spain ,2023-01-01,0,Inglés
My Name Is Khan,2010-05-28,Cines,2h 45min,Bollywood,Karan Johar,2.0,4.2,2.5, India, Twentieth Century Studios España ,2010-01-01,0,Inglés
My Name Is Khan,2010-05-28,Cines,2h 45min,Drama,Karan Johar,2.0,4.2,2.5, India, Twentieth Century Studios España ,2010-01-01,0,Inglés
The Wolf Of Wall Street,2014-01-17,Cines,2h 59min,Biopic,Martin Scorsese,3.6,4.2,3.5, EE.UU., Universal Pictures International Spain ,2013-01-01,100000000,Inglés
The Wolf Of Wall Street,2014-01-17,Cines,2h 59min,Drama,Martin Scorsese,3.6,4.2,3.5, EE.UU., Universal Pictures International Spain ,2013-01-01,100000000,Inglés
The Incredibles 2,2018-08-03,Cines,1h 58min,Aventura,Brad Bird,4.1,4.2,4.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
The Incredibles 2,2018-08-03,Cines,1h 58min,Animación,Brad Bird,4.1,4.2,4.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
The Incredibles 2,2018-08-03,Cines,1h 58min,Familia,Brad Bird,4.1,4.2,4.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
"Three Billboards Outside Ebbing, Missouri",2018-01-12,Cines,1h 56min,Comedia,Martin McDonagh,3.9,4.2,4.0, Gran Bretaña, Twentieth Century Studios España ,2017-01-01,0,Inglés
