pelicula,fecha_estreno,tipo_estreno,duracion,genero,director,calf_medios,calf_usuarios,calf_sensacine,nacionalidad,distribuidora,fecha_produccion,presupuesto,idioma
Intouchables,2012-03-09,Cines,1h 52min,Drama,Eric Toledano,2.5,4.5,2.0, Francia, A Contracorriente Films ,2011-01-01,9500000,Inglés
Intouchables,2012-03-09,Cines,1h 52min,Drama,Olivier Nakache,2.5,4.5,2.0, Francia, A Contracorriente Films ,2011-01-01,9500000,Inglés
The Lord of the Rings: The Two Towers,2002-12-18,Cines,2h 59min,Aventura,Peter Jackson,4.5,4.5,3.5, EE.UU., Warner Bros Pictures España ,2002-01-01,94000000,Inglés
The Lord of the Rings: The Two Towers,2002-12-18,Cines,2h 59min,Fantasía,Peter Jackson,4.5,4.5,3.5, EE.UU., Warner Bros Pictures España ,2002-01-01,94000000,Inglés
Saving Private Ryan,1998-09-18,Cines,2h 43min,Drama,Steven Spielberg,5.0,4.5,3.5, EE.UU., Paramount Pictures Spain ,1998-01-01,70000000,Inglés
Saving Private Ryan,1998-09-18,Cines,2h 43min,Guerra,Steven Spielberg,5.0,4.5,3.5, EE.UU., Paramount Pictures Spain ,1998-01-01,70000000,Inglés
Sen to Chihiro no Kamikakushi,2002-10-18,Cines,2h 05min,Aventura,Hayao Miyazaki,5.0,4.5,4.0, Japón, Vértigo Films España ,2001-01-01,1900000,Japonés
Sen to Chihiro no Kamikakushi,2002-10-18,Cines,2h 05min,Animación,Hayao Miyazaki,5.0,4.5,4.0, Japón, Vértigo Films España ,2001-01-01,1900000,Japonés
Sen to Chihiro no Kamikakushi,2002-10-18,Cines,2h 05min,Fantasía,Hayao Miyazaki,5.0,4.5,4.0, Japón, Vértigo Films España ,2001-01-01,1900000,Japonés
Star Wars: Episode IV - A New Hope,1977-11-07,Cines,2h 01min,Aventura,George Lucas,4.8,4.5,, EE.UU., Twentieth Century Studios España ,1977-01-01,11500000,Inglés
Star Wars: Episode IV - A New Hope,1977-11-07,Cines,2h 01min,Ciencia ficción,George Lucas,4.8,4.5,, EE.UU., Twentieth Century Studios España ,1977-01-01,11500000,Inglés
